active_power_kw,bus_id,generator_id,in_service,maximum_active_power_kw,maximum_reactive_power_kvar,minimum_active_power_kw,minimum_reactive_power_kvar,reactive_power_kvar,regulated_voltage_pu,source_record
0.0,223,1,True,4038.9999999999995,6910.0,0.0,-880.0,0.0,1.04,"223,'1',0.0,0.0,6.91,-0.88,1.04,0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,4.039,0.0,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
0.0,437,1,True,44206.0,75650.0,0.0,-9650.0,0.0,1.04,"437,'1',0.0,0.0,75.65,-9.65,1.04,0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,44.206,0.0,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
0.0,463,1,True,7200.0,3360.0,2160.0,-880.0,0.0,1.0332355,"463,'1',0.0,0.0,3.36,-0.88,1.0332355,0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,7.2,2.16,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
0.0,430,1,True,224.0,380.0,0.0,-50.0,0.0,1.0389167,"430,'1',0.0,0.0,0.38,-0.05,1.0389167,0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,0.224,0.0,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
0.0,396,1,True,116400.0,59250.0,34920.0,-12920.0,0.0,1.04,"396,'1',0.0,0.0,59.25,-12.92,1.04,0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,116.4,34.92,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
0.0,413,1,True,136950.0,69710.0,41080.0,-15200.0,0.0,1.04,"413,'1',0.0,0.0,69.71,-15.2,1.04,0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,136.95,41.08,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
0.0,458,1,True,109600.0,0.0,32880.0,0.0,0.0,1.0201795,"458,'1',0.0,0.0,0.0,0.0,1.0201795,0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,109.6,32.88,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
0.0,484,1,True,6283.0,10750.0,0.0,-1370.0,0.0,1.04,"484,'1',0.0,0.0,10.75,-1.37,1.04,0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,6.283,0.0,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
0.0,254,1,True,4100.0,1910.0,1230.0,-500.0,0.0,1.0149564,"254,'1',0.0,0.0,1.91,-0.5,1.0149564,0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,4.1,1.23,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
0.0,16,1,False,444450.0,163560.0,133330.0,-36440.0,0.0,1.0364785,"16,'1',0.0,0.0,163.56,-36.44,1.0364785,0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,444.45,133.33,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0"
