benchmark,consensus_replicate,consensus_run_id,critical_energy_not_served_kwh,critical_load_served_fraction,full_system_feasibility,headline_selection,heldout_count,heldout_data_available,heldout_probability_sum,heldout_rule,heldout_trace_id,max_fraction_customers_unserved_per_hour,method,projection_scope,total_energy_not_served_kwh,total_hours_critical_infrastructure_unserved
arpae_go_network_01o_020,baseline_repeat_000,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_000,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-6c83e4d034d25d0a621c,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_001,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_001,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-13fad8ccff3bc7d8c61c,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_002,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_002,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-89dccd0501338bacdca2,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_003,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_003,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-c6bda8d90fc52b700eba,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_004,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_004,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-5333cdb7e66cd9b50115,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_005,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_005,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-1c54b55aac7aefba96cc,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_006,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_006,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-45769f767aa1eaa9856c,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_007,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_007,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-98156173987e5a3f80d1,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_008,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_008,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-8ef078406d58cc241562,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_009,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_009,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-535f6997aea17931bc30,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_010,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_010,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-5b53094d75be8d0b58d7,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_011,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_011,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-ef7a29a8d41a1fd3f69f,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_012,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_012,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-8f0ec67d706d059c9bbc,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_013,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_013,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-efc2b8a82e352e53dc11,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_014,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_014,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-75e2ac1168950ee670a8,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_015,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_015,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-60660a284029bd6581d3,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_016,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_016,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-ae4f3d0571bfbe50758c,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_017,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_017,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-66d3eb0c0797035949f2,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_018,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_018,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-c74dc04a4202d0effc9c,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_019,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_019,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-6b6fca397e6b442ab310,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
arpae_go_network_01o_020,baseline_repeat_020,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_020,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-872e96e5b5721c519279,0.01698133837377796,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0
