budget,budget_id,budgeted_payload,hard_constraint,scenario_count,source_payload,source_payload_sha256
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,8758a7c2bc196715b61816113db5c741ea89c1ab0cfc0c235c1020ab041cb65c
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,9dbe60da9f0725124caec385cd8806d7cba0f4d2e11b58827819dc849754e3b4
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json,b4cd5e9d4d514e43966c0679c00fdcd166f50a1c4221383380c8cede45c27c15
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json,88aa56d687ad1465a8fd6a24c8c43de8b971ae91bf392644ab6e787ab08a974b
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json,dda6eb5762007422ab494bf9d55e14f95a851e90c207e5de3d55dacbfc54e850
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json,564208d575d0d104ce912f2ae5bce03ba0f0473e5377ea8fd809f81ef457a6ec
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json,67388e2e807c71304b09ae5376cbda6e2e9a83c1993b3af48fe138e9957a6ccc
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json,fccb94c15e0707728626cf7e97c6b759c32f54d1a740c67db8e2a98d064f6674
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json,8efd5d73f1b2c96cebf789dead239150f6f9e38323bc1ead57cfb5ce32b654a7
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json,646c3646404721c510e9f75285d87045250ef4b8c4a9da08534e30eac2ade9fa
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json,0c76f1a8166f22d35e448ce1bf8e8e8479aefd8b562d9f12a5b2c86a84d04dba
2032032.0,minimum_feasible_islanding,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/minimum_feasible_islanding/ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json,81351a6cdafcd54140efd31f83daab5bef2e25442195d094eef246beb948e841
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,8758a7c2bc196715b61816113db5c741ea89c1ab0cfc0c235c1020ab041cb65c
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,9dbe60da9f0725124caec385cd8806d7cba0f4d2e11b58827819dc849754e3b4
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json,b4cd5e9d4d514e43966c0679c00fdcd166f50a1c4221383380c8cede45c27c15
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json,88aa56d687ad1465a8fd6a24c8c43de8b971ae91bf392644ab6e787ab08a974b
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json,dda6eb5762007422ab494bf9d55e14f95a851e90c207e5de3d55dacbfc54e850
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json,564208d575d0d104ce912f2ae5bce03ba0f0473e5377ea8fd809f81ef457a6ec
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json,67388e2e807c71304b09ae5376cbda6e2e9a83c1993b3af48fe138e9957a6ccc
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json,fccb94c15e0707728626cf7e97c6b759c32f54d1a740c67db8e2a98d064f6674
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json,8efd5d73f1b2c96cebf789dead239150f6f9e38323bc1ead57cfb5ce32b654a7
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json,646c3646404721c510e9f75285d87045250ef4b8c4a9da08534e30eac2ade9fa
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json,0c76f1a8166f22d35e448ce1bf8e8e8479aefd8b562d9f12a5b2c86a84d04dba
2114027.8922130284,low_cost_catalog_step,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/low_cost_catalog_step/ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json,81351a6cdafcd54140efd31f83daab5bef2e25442195d094eef246beb948e841
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,8758a7c2bc196715b61816113db5c741ea89c1ab0cfc0c235c1020ab041cb65c
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,9dbe60da9f0725124caec385cd8806d7cba0f4d2e11b58827819dc849754e3b4
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json,b4cd5e9d4d514e43966c0679c00fdcd166f50a1c4221383380c8cede45c27c15
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json,88aa56d687ad1465a8fd6a24c8c43de8b971ae91bf392644ab6e787ab08a974b
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json,dda6eb5762007422ab494bf9d55e14f95a851e90c207e5de3d55dacbfc54e850
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json,564208d575d0d104ce912f2ae5bce03ba0f0473e5377ea8fd809f81ef457a6ec
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json,67388e2e807c71304b09ae5376cbda6e2e9a83c1993b3af48fe138e9957a6ccc
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json,fccb94c15e0707728626cf7e97c6b759c32f54d1a740c67db8e2a98d064f6674
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json,8efd5d73f1b2c96cebf789dead239150f6f9e38323bc1ead57cfb5ce32b654a7
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json,646c3646404721c510e9f75285d87045250ef4b8c4a9da08534e30eac2ade9fa
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json,0c76f1a8166f22d35e448ce1bf8e8e8479aefd8b562d9f12a5b2c86a84d04dba
3097978.598769372,pv_catalog_midpoint,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/pv_catalog_midpoint/ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json,81351a6cdafcd54140efd31f83daab5bef2e25442195d094eef246beb948e841
4532906.712497371,slsqp_selected_cost,/Users/omtailor/QCI/results/phase3/sc_cmpo/budget_frontier/payloads/slsqp_selected_cost/ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,True,8,/Users/omtailor/QCI/results/phase3/sc_cmpo/ieee123/qci_payloads/ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,8758a7c2bc196715b61816113db5c741ea89c1ab0cfc0c235c1020ab041cb65c
