failure_reason,job_id,payload_name,repeat,request_json,response_json,sample_count,selection_rule,status
,6a59640408442f441bbb1c7c,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_01__76-77-86/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_01__76-77-86/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a59648c08442f441bbb1c7d,ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_02__47-48-49/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_02__47-48-49/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a59652308442f441bbb1c7e,ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_03__64-65-66/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_03__64-65-66/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a5965ac08442f441bbb1c7f,ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_04__100-98-99/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_04__100-98-99/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a59664408442f441bbb1c80,ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_05__73-74-75/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_05__73-74-75/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a5966cb08442f441bbb1c81,ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_06__3-5-6/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_06__3-5-6/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a59676308442f441bbb1c82,ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_07__63-64-65/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_07__63-64-65/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a5967eb08442f441bbb1c83,ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_08__69-70-71/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_08__69-70-71/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a59688308442f441bbb1c84,ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_09__112-113-114/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_09__112-113-114/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a59690b08442f441bbb1c85,ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_10__28-29-30/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_10__28-29-30/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a5969a208442f441bbb1c86,ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_11__15-16-34/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_11__15-16-34/repeat_000/response.json,30,challenge_aligned,COMPLETED
,6a596a2b08442f441bbb1c87,ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json,0,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_12__86-87-88/repeat_000/request.json,results/phase3/sc_cmpo/final_public_experiment/qci/ieee123_opendss__ieee123_opendss__patch_12__86-87-88/repeat_000/response.json,30,challenge_aligned,COMPLETED
